no.;name;type;latitude;longitude;elevation
1;Mount Fuji, Japan;volcano;35.360625481685354;138.72736315201539;3776
2;Eyjafjallajökull, Iceland;volcano;63.63040668923757;-19.60673461436549;1666
3;Mauna Loa, Hawaii;volcano;19.47246144478291;-155.59229257502383;4169
4;Mount Etna, Italy;volcano;37.751789017910944;14.994602671943335;3350
5;Pico de Fogo, Cape Verde;volcano;14.949405490299348;-24.34043356575871;2829
6;Pacaya, Guatemala;volcano;14.382318826900988;-90.60150755067576;2552
7;Mount Vesuvius, Italy;volcano;40.82247898314849;14.428875335060809;1281
8;Villarrica, Chile;volcano;-39.42024529496876;-71.93964090700042;2847
9;Shishaldin, Alaska;volcano;54.75417706840114;-163.9702357445948;2857
10;Mount Bromo, Indonesia;volcano;-7.94247595743476;112.95301307507499;2329
11;Stromboli, Sicily;volcano;38.79252428016747;15.211648549676932;924
12;Mount Ruapehu, New Zealand;volcano;-39.28169712307853;175.5685169834766;2797
13;Cotopaxi, Ecuador;volcano;-0.6837418601262236;-78.43719162745293;5897
14;Isabela Island, Galapagos, Ecuador;volcano;-0.8212012835105001;-91.13254805134454;1707
15;Mount Mayon, Philippines;volcano;13.254839933073285;123.6861124743749;2463
16;Krakatoa, Indonesia;volcano;-6.1021191579913925;105.42298803269429;813
17;Agung, Indonesia;volcano;-8.343306220912979;115.50705663810442;3031
18;Poás, Costa Rica;volcano;10.197870158976567;-84.23057668789158;2708
19;Mount St Helens, Washington;volcano;46.19140454573476;-122.19555078073279;2550
20;Mount Yasur, Vanuatu;volcano;-19.52881166028595;169.44717658617398;361
21;Kilauea, Hawaii;volcano;19.407124271387474;-155.28341222073604;1247
22;Pico de Orizaba;volcano;19.029596425563614;-97.2680920676654;5636
23;Volcán Tajumulco;volcano;15.042736764801393;-91.9045030957736;4220
24;Mauna Kea;volcano;19.472906424071166;-155.5922651175355;4205
