no.;name;type;latitude;longitude;elevation;
1;Mount Everest;mountain;27.98812511190263;86.92497567079089;8848
2;Aconcagua;mountain;-32.65316279561031;-70.01086750813175;6962
3;Denali;mountain;63.06917284556719;-151.00698631562216;6191
4;Mount Kilimanjaro;mountain;-3.067419892853119;37.35562722577985;5895
5;Pico Cristóbal Colón;mountain;10.839169401535447;-73.68638862844409;5700
6;Mount Logan;mountain;60.56700262527285;-140.4052936704186;5959
7;Kamet;mountain;30.919828537407728;79.59028213194095;7756
8;Vinson Massif;mountain;-78.63406501102419;-85.21339353529703;4892
9;Puncak Jaya;mountain;-4.08459233620397;137.1866170012554;4884
10;Mount Elbrus;mountain;43.34993989339684;42.44532913137314;5642
11;Mont Blanc;mountain;45.832624962782184;6.865174441708908;4808
12;Mount Damavand;mountain;35.95483952693957;52.109979103690875;5610
13;Klyuchevskaya Sopka;mountain;56.05754022385285;160.6414578694564;4750
14;Nanga Parbat;mountain;35.23750771497959;74.58914385238938;8125
15;Saramati;mountain;25.740378509009297;95.03697333121373;3826
16;Jengish Chokusu;mountain;42.036282618565096;80.1292573001057;7439
17;Bogda Peak;mountain;43.8016693211931;88.33249947223102;5445
18;Chimborazo;mountain;-1.471790052903936;-78.82299069862759;6263
19;Namcha Barwa;mountain;29.631669887031126;95.05500047182433;7782
20;Mount Kinabalu;mountain;6.075316363734856;116.55882428277765;4095
21;Mount Rainier;mountain;46.85231074351421;-121.7603235975243;4393
22;K2;mountain;35.879990439402654;76.51509914160567;8611
23;Ras Dashen;mountain;13.2361881414644;38.36826895158488;4550
24;Nanda Devi;mountain;30.541108477060646;79.97157589792036;7816
25;Pico Bolívar;mountain;8.540871921942513;-71.04652309620039;4981
26;Mount Fairweather;mountain;58.91081125721173;-137.5413001608532;4671
27;Yushan;mountain;23.4700055641904;120.957452935535;3952
28;Mount Stanley;mountain;0.39121828028225475;29.869421286006922;5109
29;Kanchenjunga;mountain;27.702493977068933;88.14753600009279;8586



